,Link,Price
218,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-1508-C4996141,"$420,000"
219,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-3608-C4999211,"$435,000"
220,https://condos.ca/toronto/polo-club-1-1055-bay-st/unit-1003-C5398647,"$535,000"
221,https://condos.ca/toronto/the-liberties-i-ii-711-bay-st-717-bay-st/unit-705-C5406920,"$470,000"
222,https://condos.ca/toronto/nicholas-residences-75-st-nicholas-st/unit-2603-C5371251,"$537,000"
223,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-3508-C5352749,"$556,000"
224,https://condos.ca/toronto/karma-condos-15-grenville-st/unit-1604-C5337997,"$440,000"
225,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-4108-C5335803,"$550,000"
226,https://condos.ca/toronto/the-liberties-i-ii-711-bay-st-717-bay-st/unit-1213-C5336182,"$532,000"
227,https://condos.ca/toronto/college-park-north-tower-763-bay-st/unit-2015-C5326465,"$537,000"
228,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-812-C5314815,"$530,000"
229,https://condos.ca/toronto/college-park-north-tower-763-bay-st/unit-1614-C5320441,"$540,000"
230,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-5105-C5326701,"$555,000"
231,https://condos.ca/toronto/the-liberties-i-ii-711-bay-st-717-bay-st/unit-910-C5291097,"$550,000"
232,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-1002-C5301672,"$521,880"
233,https://condos.ca/toronto/the-liberties-i-ii-711-bay-st-717-bay-st/unit-1712-C5306896,"$485,000"
234,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-3402-C5305315,"$508,000"
235,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-2106-C5259146,"$537,000"
236,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-1710-C5290179,"$533,000"
237,https://condos.ca/toronto/1-thousand-bay-57-st-joseph-st-1000-bay-st/unit-609-C5267421,"$543,000"
238,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-2506-C5260454,"$510,000"
239,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-1210-C5162696,"$516,000"
240,https://condos.ca/toronto/wellesley-on-the-park-11-wellesley-st-w/unit-5210-C5255549,"$562,500"
241,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-Ph05-C5222519,"$582,000"
242,https://condos.ca/toronto/1-thousand-bay-57-st-joseph-st-1000-bay-st/unit-1104-C5253213,"$480,000"
243,https://condos.ca/toronto/nicholas-residences-75-st-nicholas-st/unit-1403-C5232372,"$537,800"
244,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-912-C5191438,"$490,000"
245,https://condos.ca/toronto/nicholas-residences-75-st-nicholas-st/unit-1903-C5216008,"$538,000"
246,https://condos.ca/toronto/1-thousand-bay-57-st-joseph-st-1000-bay-st/unit-1205-C5183279,"$599,600"
247,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-2502-C5183318,"$470,000"
248,https://condos.ca/toronto/the-liberties-i-ii-711-bay-st-717-bay-st/unit-1517-C5197240,"$460,000"
249,https://condos.ca/toronto/nicholas-residences-75-st-nicholas-st/unit-1001-C5132326,"$520,000"
250,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-811-C5178583,"$460,000"
251,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-2211-C5131281,"$533,000"
252,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-1311-C5117812,"$492,000"
253,https://condos.ca/toronto/1-thousand-bay-57-st-joseph-st-1000-bay-st/unit-Ph4-C5144339,"$590,800"
254,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-626-C5128417,"$460,000"
255,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-2011-C5131271,"$525,000"
256,https://condos.ca/toronto/the-allegro-909-bay-st/unit-1104-C5131872,"$538,898"
257,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-5205-C5000483,"$513,500"
258,https://condos.ca/toronto/nicholas-residences-75-st-nicholas-st/unit-302-C5104662,"$462,500"
259,https://condos.ca/toronto/five-condos-5-st-joseph-st/unit-426-C5080068,"$552,000"
260,https://condos.ca/toronto/karma-condos-15-grenville-st/unit-704-C4996132,"$408,000"
261,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-5304-C5078596,"$631,000"
262,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-3010-C5002326,"$488,000"
263,https://condos.ca/toronto/murano-37-grosvenor-st-38-grenville-st/unit-805-C4958098,"$428,000"
264,https://condos.ca/toronto/karma-condos-15-grenville-st/unit-2606-C4911904,"$436,000"
265,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-1518-C4992556,"$480,000"
266,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-1508-C4996141,"$420,000"
267,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-3608-C4999211,"$435,000"
268,https://condos.ca/toronto/eleven-residences-11-st-joseph-st/unit-309-C5414332,"$640,000"
269,https://condos.ca/toronto/conservatory-tower-736-bay-st/unit-306-C5359368,"$560,000"
270,https://condos.ca/toronto/the-britt-condos-955-bay-st-31-phipps-st/unit-604-C5403042,"$675,000"
271,https://condos.ca/toronto/horizon-on-bay-633-bay-st/unit-1103-C5405290,"$620,000"
272,https://condos.ca/toronto/aura-at-college-park-386-yonge-st-388-yonge-st/unit-5406-C5385000,"$645,000"
273,https://condos.ca/toronto/the-allegro-909-bay-st/unit-2305-C5385271,"$705,000"
274,https://condos.ca/toronto/lumiere-condominiums-on-bay-770-bay-st/unit-2009-C5387269,"$620,000"
275,https://condos.ca/toronto/yc-condos-yonge-and-college-7-grenville-st/unit-2910-C5379763,"$760,000"
276,https://condos.ca/toronto/u-condominium-57-75-st-mary-st-1074-1086-bay-st/unit-2508-C5375728,"$890,000"
277,https://condos.ca/toronto/the-allegro-909-bay-st/unit-1007-C5385107,"$690,000"
278,https://condos.ca/toronto/opera-place-2-889-bay-st/unit-1002-C5374161,"$660,000"
279,https://condos.ca/toronto/minto-plaza-38-elm-st/unit-3215-C5358532,"$654,800"
280,https://condos.ca/toronto/the-penrose-750-bay-st/unit-2505-C5373393,"$690,000"
